TeamNames,Year,Seed,Sweet Sixteen,Placement,ADJOE,ADJDE,efg%,efgd%,tor,tord,orb,drb,ftr,ftrd,2p%,2pd%,3p%,3pd%,adjt,wab,AdjEM-KP,AdjO-KP,AdjD-KP,AdjT-KP,Luck-KP,AdjEM-SOS-KP,AdjO-SOS-KP,AdjD-SOS-KP,AdjEM-NCSOS-KP
Eastern Kentucky,2014,15,0,R64,112.1,107.5,56.7,55.7,15.8,24.2,23,34,43.2,54.9,55.7,56.7,38.6,35.8,66,-3.3,3.96,112.4,108.4,64.2,0.036,-4.97,104.1,109,-5.04
Utah St.,2014,17,0,NoTourney,108.6,104.3,51.3,47.6,17.2,12.4,32.3,26.7,33.7,33.6,46.8,48.2,40.9,31.1,63.8,-5.3,4.48,109.8,105.3,62.2,0.009,1.99,105.8,103.8,-5.53
San Diego,2014,17,0,NoTourney,105.7,101.6,51,49.4,18.7,17.5,27.8,30.1,41.5,37.7,47.9,47.9,38,35,63.4,-7.5,2.98,105.4,102.5,61.7,-0.02,2.08,107.3,105.3,-4.75
Toledo,2014,17,0,NoTourney,113.8,109.5,51,52.6,14.7,19.5,35.2,31.7,43.8,35.1,50.6,52,34.6,35.8,68.6,0.2,5.97,115,109.1,67,0.111,-1.65,102.7,104.4,-1.68
George Mason,2014,17,0,NoTourney,106.3,102.4,48.4,50.1,19.8,17.8,31.7,29.9,40.1,47.3,47,50,35.2,33.5,66.9,-9.4,2.67,105.8,103.2,65,-0.036,5.64,107.7,102.1,1.77
Eastern Michigan,2014,17,0,NoTourney,97.9,94.4,44.2,43.8,17.9,22.6,30.4,37.1,43,40.2,43.8,41.2,30,32,64.8,-6.1,3.17,98.5,95.3,63,0.019,0.36,105.4,105,8.94
Murray St.,2014,17,0,NoTourney,109.1,105.3,53.7,49.4,18,17,31.7,31.3,45.9,35,52.2,49.8,37.6,32.2,67.5,-5.9,3.23,109,105.8,66.2,0.032,-4.46,104.3,108.8,2.86
Columbia,2014,17,0,NoTourney,106.9,103.3,52.5,47.5,19.2,16.8,26.5,25.3,44,41.2,48.5,45.7,38.6,35,61.7,-5.5,4.67,107.6,103,59.9,-0.013,-2.35,103.2,105.5,-3.07
Akron,2014,17,0,NoTourney,105,101.7,50.3,47.9,19.8,19.5,34.8,32.4,40.4,36.1,49.3,47.1,34.6,33.5,65.7,-4.7,2.1,105,102.9,64,0.073,-0.8,103.7,104.5,0.1
Ohio,2014,17,0,NoTourney,106,102.8,52.4,46.2,19.1,18.3,27.4,30.1,34.3,41.5,52.3,45.7,35.1,31.5,65.9,-4.2,3.76,106.5,102.7,64.3,0.035,-2,103.1,105.1,-1.1
Houston,2014,17,0,NoTourney,110.7,107.9,51.2,50.1,18.9,16.4,31.6,34,38.2,34.6,49.5,49,36.7,34.9,67.3,-4.5,3.35,111.1,107.7,65.4,0.057,4.37,105.9,101.5,-9.04
Canisius,2014,17,0,NoTourney,111.8,109,52.7,50.9,16.5,19.6,31.8,36.3,38,35.3,49.9,51.4,38.6,33.4,67,-4,4.14,112.5,108.3,65.3,0.022,-1.19,104.9,106.1,1.69
Drexel,2014,17,0,NoTourney,103.9,101.5,46.6,47.2,12.9,17.1,28.9,29.7,39.2,46.6,46.4,47.6,31.4,30.8,64.1,-6.4,3.47,105.2,101.8,62.4,-0.032,0.37,105.7,105.4,6.42
Colorado St.,2014,17,0,NoTourney,110,107.5,46.2,51.5,14.1,16.8,34.7,27.7,47.6,37.4,45.7,48.4,31.6,38.2,66.7,-7.7,3.51,110.5,107,64.9,-0.073,0.84,105.4,104.6,-7.23
Wright St.,2014,17,0,NoTourney,99.5,97.3,51.2,48.6,20.3,23.6,23.5,29,43,45,49.3,48.2,36.5,33,65.2,-8.1,3.35,100.4,97.1,63.4,-0.062,-2.58,103.9,106.5,-7.41
Hawaii,2014,17,0,NoTourney,109.9,107.5,51.3,51,16.8,19.2,37.3,31.6,42.4,40.4,51.9,50.8,33.2,34.2,69,-6.3,3.03,111,108,66.9,-0.045,-3.89,104,107.9,-4.32
Western Michigan,2014,14,0,R64,104.7,102.5,52,47.6,20.9,18.5,31,32,51.4,34.7,53.7,47.8,32.6,31.5,67,-2.9,3.36,106.3,103,65.2,0.098,-1.86,103.9,105.7,-3.25
IPFW,2014,17,0,NoTourney,109.7,107.5,55.3,52.1,18.7,17.8,32.1,27.5,41.7,32.2,54,52,38.4,34.8,67.5,-4.3,2.08,110.1,108,65.7,0.062,-3.63,103.2,106.8,-4.9
Nevada,2014,17,0,NoTourney,109.1,107,49.2,50,15.5,15.9,31.1,31.7,38.1,40.5,48.5,49.9,33.8,33.5,65.5,-7.5,2.21,109.5,107.3,63.4,0.027,3.2,107.3,104.1,1.31
Holy Cross,2014,17,0,NoTourney,104.2,102.3,49,49.9,18.2,18.8,29.8,27.5,39.4,30.2,46.9,47,35.3,37.4,64.7,-6.4,0.98,104.5,103.5,62.7,0.027,-2.6,103.1,105.7,0.54
South Dakota St.,2014,17,0,NoTourney,105.2,103.4,49.6,51.3,17.9,16.3,30.4,22.1,43.7,38.4,48.9,50.3,33.9,35.5,67.5,-5.8,2.77,107,104.2,65.5,-0.003,-1.49,104.7,106.2,1.45
Duquesne,2014,17,0,NoTourney,109.9,108.1,50.6,53.3,16.2,17.6,29.9,28.9,42.2,33.6,48.5,49.6,36.3,39.3,68.5,-8,1.53,110.6,109,66.5,-0.053,1.68,104.4,102.7,-9.59
Illinois St.,2014,17,0,NoTourney,101.3,99.7,46.9,48.8,18,20.2,26.9,30.5,40.7,42.3,47.5,46.2,30.8,35.4,68.5,-7,1.98,101.9,99.9,66.7,0.029,1.34,105.5,104.1,2.3
Southern Illinois,2014,17,0,NoTourney,106.4,104.8,49.4,50.5,18.9,19.8,33.8,31.2,42.4,42.2,49.4,50.5,33,33.7,63.4,-11,0.17,106.1,106,61.5,-0.061,0.3,104.9,104.6,-2.86
Bucknell,2014,17,0,NoTourney,102.7,101.2,48.9,47.9,16.8,14.4,29,24.4,31.7,31.8,44.6,46.5,39,33.9,64.7,-7.9,0.91,103,102.1,62.9,-0.042,-2.59,103.4,106,2.46
Pacific,2014,17,0,NoTourney,108.4,106.9,50.3,52.9,18,17.3,31.2,26.8,40.6,52.7,48.4,49.7,36.2,38.7,67.7,-6.1,1.98,109.5,107.5,66.1,0.057,3.53,107.8,104.3,1.32
Towson,2014,17,0,NoTourney,108.8,107.2,50.5,45.7,17.5,12.8,34.6,30.8,53.2,38.1,49.2,45.2,35.7,31.1,65.6,-3.4,3.45,110.6,107.2,63.9,0.08,-3.45,103.7,107.1,-4.9
Arkansas St.,2014,17,0,NoTourney,105.9,104.5,52.3,48.4,17.7,18.2,26.9,31.5,42.4,36.1,48.3,48.3,38.6,32.5,68.5,-7.3,0.59,106.6,106,66.6,0.003,-3.49,103,106.5,-4.87
USC,2014,17,0,NoTourney,102.8,101.5,47.8,48.9,19.6,15.7,30.6,32.2,42.3,38.7,49.7,49.2,28.5,32.1,70.3,-8.7,1.53,103.5,102,68.4,-0.014,8.7,109.7,101,-0.45
Denver,2014,17,0,NoTourney,110.2,108.9,54.3,52.6,16.6,21,24.8,33.4,34.7,49.2,51.8,53.4,38.4,33.8,59.4,-7.6,2.86,110.6,107.7,57.8,-0.03,0.32,105.3,105,3.83
Temple,2014,17,0,NoTourney,109.7,108.6,48,52.6,15.1,15.9,32.3,33.9,31.7,37.2,46.8,52.1,33.8,35.9,68.2,-10.5,1.68,110.7,109.1,66.3,-0.078,7.08,108.4,101.3,2.4
Virginia Tech,2014,17,0,NoTourney,100,99,47.1,47,19.7,13,31.7,29.5,38.1,33.5,43.1,45.6,36.1,32.6,64.5,-10.1,-0.68,100.1,100.8,62.3,-0.08,6.13,108.8,102.6,-7.09
Long Beach St.,2014,17,0,NoTourney,103.8,102.8,48.6,49.8,18.2,18.7,34.5,33.5,30.8,37.2,49.1,50,31.6,32.9,66.4,-7.9,2.17,104.9,102.7,64.6,-0.023,2.95,107.3,104.4,13.73
Santa Clara,2014,17,0,NoTourney,106.9,105.9,48.6,50.8,15.5,18,29,33.4,36.9,46.6,45.3,49.9,36.4,35.8,65.5,-10,1.18,107.3,106.1,63.8,-0.043,3.18,107.6,104.5,-3.87
Siena,2014,17,0,NoTourney,101.3,100.4,45.8,46.6,20.2,18.6,36.6,33.1,41.7,51.5,44.8,45.3,32.8,33,66.4,-9.7,0.33,101.6,101.3,64.6,0.041,-0.36,105.8,106.2,2.95
Missouri St.,2014,17,0,NoTourney,105.2,104.3,49.6,51.1,17,18.1,27.1,28.6,40.9,42.9,47.1,50.2,35.9,35.1,65.1,-3.3,1.01,106.5,105.5,63,0.114,0.73,104.8,104,-2.81
UAB,2014,17,0,NoTourney,103.5,102.7,45.3,46.7,18.5,15.3,39.8,29.7,41.6,30.9,45.5,46.2,30,31.9,68.6,-6.6,1.02,104.1,103.1,66.8,-0.009,-1.94,102.8,104.7,-3.02
UCF,2014,17,0,NoTourney,106.7,105.9,49,51.9,20,17.2,38.1,33.1,38.2,36.6,49.1,51,32.6,36,67.9,-7.7,1.05,107.1,106.1,66.3,-0.047,5.55,107.4,101.9,-8.88
William & Mary,2014,17,0,NoTourney,112.8,112.1,56.2,52.2,16.1,15.8,24.3,30.8,39.6,29.3,53,50.5,40.4,37.1,65.1,-5.3,0.12,112.6,112.4,63.5,0.095,-2.05,103.4,105.4,-1.89
Milwaukee,2014,15,0,R64,104.3,103.9,49.1,49.1,19.9,18.5,28.6,31.2,44.7,36.5,49.1,50.4,32.7,31,67.8,-6.1,0.08,104.7,104.6,65.8,0.119,0.03,104.4,104.4,-2.92
Quinnipiac,2014,17,0,NoTourney,110.3,109.9,46.8,48,17.6,12,41.9,27.2,48.1,36.2,44.6,46.5,35.7,34.7,69.9,-4.9,1.89,111.3,109.4,68.3,0.055,-1.69,103.7,105.3,-1.31
Pepperdine,2014,17,0,NoTourney,107.1,106.8,51.1,50,18.1,15.1,30.9,32.4,39,38.3,49.5,47.5,36.2,36.7,66.9,-7.5,0.93,107.8,106.9,64.9,0.025,2.95,107.1,104.2,-3.98
Colgate,2014,17,0,NoTourney,108.6,108.4,56.4,50.6,18.1,16.2,23.6,28.6,28.1,34.8,54,50.6,40.1,33.8,64.2,-12.1,-1.28,108.5,109.7,62.4,-0.149,-4.06,102.3,106.3,-2.64
Yale,2014,17,0,NoTourney,101.5,101.4,46.2,50.2,19.7,18.6,34,25.3,50.5,41,45.6,47.9,31.7,36.3,65.2,-6,1.29,102.8,101.5,63.5,0.08,0.85,105.6,104.7,1.83
Brown,2014,17,0,NoTourney,100.1,100.2,48.2,44.6,18.7,16.7,30.5,27.8,35.6,37.3,44.7,44.1,37.7,30.6,70.3,-7.6,0.59,101.1,100.5,68.3,-0.118,-3.89,102.2,106.1,-6.73
Old Dominion,2014,17,0,NoTourney,100.2,100.4,47.7,47.8,20.4,19.7,33.2,29.5,39.3,44.6,47.2,45,32.6,35.8,64.2,-9.1,-0.72,100.7,101.4,62.5,0.005,-1.37,103.6,105,-0.55
Albany,2014,16,0,R64,102.8,103.1,48.8,48.3,19.7,18.3,31.9,28.4,42,29.1,47,46,36,34.9,63.2,-8.6,-1.04,102.9,103.9,61.6,0.002,-5.12,101.5,106.6,0.91
Charlotte,2014,17,0,NoTourney,102,102.4,49.7,49.2,21,17.4,33.8,29.7,39.5,36.1,48.2,49.2,35.6,32.8,69.6,-6.9,-0.54,102.7,103.2,67.5,0.046,-2.15,103.1,105.3,-2.97
USC Upstate,2014,17,0,NoTourney,104.2,104.6,50.5,47.6,18.3,18,34.5,30.8,38.9,38.6,52,45.1,31.8,34.2,65.8,-8.3,0.1,105,104.9,64.2,-0.059,-5.48,103.1,108.6,1.74
Stony Brook,2014,17,0,NoTourney,104.2,104.7,50,48.1,18.7,19,34,26.9,38.4,42.1,48.8,47.3,35.4,32.9,66.1,-5.2,0,105.4,105.4,64.4,0.015,-7.84,99.6,107.4,-2.03
Weber St.,2014,16,0,R64,106,106.6,54.1,47.8,19,13.8,28.4,28.7,49.7,35.1,51.1,47,39.4,33.7,64.3,-6.9,-0.62,106.4,107,62.9,-0.009,-6.78,103.3,110,6.69
Western Kentucky,2014,17,0,NoTourney,101,101.6,47.6,48.5,20.2,18.9,34.3,28.1,41.9,43.1,45.8,46.8,33.5,35,66,-5.4,-0.97,101.1,102.1,64.4,0.113,-2.27,103.8,106.1,-1.14
College of Charleston,2014,17,0,NoTourney,98.7,99.3,47.3,45.5,20.3,15.1,34.8,27.9,34.4,43.1,44.9,43.4,34.5,34.2,62.6,-11.6,-2.83,98.1,100.9,60.7,-0.067,-2.86,104.1,107,-3.27
Valparaiso,2014,17,0,NoTourney,102.5,103.2,51.4,46.1,22.6,16.1,32.7,31.1,45.8,43.9,50.7,43.8,35,34.1,65.4,-8.6,0.5,104.2,103.7,63.4,-0.028,-0.48,104.5,105,0.15
Nebraska Omaha,2014,17,0,NoTourney,103.7,104.4,49.6,51.6,17.2,20.6,28.4,31.1,39.3,36.8,49.5,51.5,33.2,34.5,74.1,-8,-0.86,104.5,105.4,72.2,-0.053,-2.51,104.2,106.7,-1.98
DePaul,2014,17,0,NoTourney,105.3,106.5,47.6,53.9,19.7,19.1,33.8,32,42,46.7,46.3,52.9,33.6,37.4,67.6,-7.6,-1.19,106.1,107.3,65.6,0.032,8.44,109.5,101,-0.75
Robert Morris,2014,17,0,NoTourney,104.6,105.9,50.4,51.8,17,19.1,30.9,31.6,36.6,38.4,46.5,52.7,38.5,33.5,66.2,-6.2,-0.65,105.8,106.5,64.2,0.093,-2.9,104.7,107.6,5.14
Loyola Marymount,2014,17,0,NoTourney,104.7,106,47.1,52,17.3,19.7,32.4,36.2,36.4,43.1,48,50.8,29.8,36.5,70,-9.3,-0.94,105.7,106.6,67.8,0.048,4.78,108.4,103.6,0.92
Oral Roberts,2014,17,0,NoTourney,107.6,108.9,50.4,48.8,17,16.3,32.9,30.8,41.9,42.8,49.4,46.1,35.8,37.3,64.9,-8.9,-1.53,108,109.6,62.8,-0.058,-4.7,102.4,107.1,10.43
Youngstown St.,2014,17,0,NoTourney,107,108.4,52.2,52.2,16.1,18.6,25,30.5,40,41.2,52.3,51.7,34.7,35.5,68,-10.3,-1.33,107.9,109.3,66,-0.053,-0.58,104.6,105.2,-2.59
Rutgers,2014,17,0,NoTourney,104.7,106.2,47,51.4,18.2,17.8,32.5,32.9,36.6,45,46,49.1,32.9,37.4,68.5,-9.9,-0.37,106.5,106.9,66.4,-0.012,4.95,107.3,102.4,-5.41
Washington St.,2014,17,0,NoTourney,101.1,102.6,46.9,51.5,18,17.5,27.7,27.9,37.2,44.7,45.2,49.6,32.7,36.9,62.3,-9.3,-1.84,101.7,103.6,60.5,-0.042,7.58,108.9,101.3,-3.55
Drake,2014,17,0,NoTourney,104.2,105.8,52.1,51.2,18.8,16.9,26.8,27.1,38.2,38.6,47.4,50.9,39.7,34.5,64.7,-8.3,-1.46,105,106.5,62.9,0.024,0.86,105.7,104.8,-0.03
Florida Gulf Coast,2014,17,0,NoTourney,99.2,100.8,51.1,47.7,19.2,18.6,30,28.6,36,35.4,52.5,45.8,31.9,34.2,67.8,-7.4,-1.08,100,101.1,66.2,0.011,-7.17,102.6,109.8,-2.98
Oakland,2014,17,0,NoTourney,109,111,50.2,57.1,16.1,19.7,25,30.4,37.7,42.9,47,55.8,36.6,39.3,68.6,-10.7,-2.16,109.9,112,67.1,0.025,3.7,105.8,102.1,9.47
Mississippi St.,2014,17,0,NoTourney,100.7,102.5,48.5,51.1,20.2,20.3,28.6,31.5,43.3,33,49.5,52.3,30.7,32.6,68.4,-9,-3.35,100.3,103.6,66.8,0.032,1.92,105.3,103.3,-14.41
Evansville,2014,17,0,NoTourney,103.6,105.9,49.8,51.1,19.2,18.1,26.5,32.3,49.1,37.7,48.9,49.7,35.3,35.7,67.4,-10.6,-4.19,103.1,107.3,65.6,0.007,1.26,105.4,104.2,-2.1
Sam Houston St.,2014,17,0,NoTourney,105.1,107.4,51.7,50.4,18.9,20.6,33.5,31.7,52.1,49.9,48.9,49.5,38.2,35.1,66,-5.3,-2.57,105.8,108.4,64.5,0.073,-8.37,101.3,109.7,-4.04
Elon,2014,17,0,NoTourney,104.1,106.4,52.3,49,17.6,16.8,26.9,31.8,35.8,40.6,50.9,48.6,36.3,33.3,66.4,-7.7,-2.95,104.6,107.5,64.4,0.033,-4.75,103.4,108.2,5.35
Cal Poly,2014,16,0,R64,102,104.4,46,49.3,14.7,18.1,30.9,33.2,33.2,42.9,44.2,48.6,33,33.8,60.4,-10.7,-0.82,103.6,104.4,58.8,-0.044,2.38,107.4,105,10.19
Southern,2014,17,0,NoTourney,97.2,99.4,49.3,42.8,20.5,18.3,32,30.1,39.3,53.7,48.2,41.4,34.6,30.5,67.6,-7.3,-2.58,97.6,100.2,65.6,-0.035,-9.63,99.2,108.8,12.66
Northwestern St.,2014,17,0,NoTourney,107.1,109.8,51.3,52.1,17,20,32.6,36.1,39.8,42.9,51.4,51,34,36.2,75.8,-7.4,-1.31,108.6,109.9,74.2,-0.019,-4.75,103.1,107.9,10.12
Morehead St.,2014,17,0,NoTourney,101.9,104.5,49.3,51,22.1,20.6,38.1,27.5,53.2,52.3,51.1,50.6,30.4,34.6,69.6,-6.5,-1.02,102.9,103.9,67.5,0.038,-3.13,104.6,107.7,1.03
Wofford,2014,15,0,R64,99.7,102.2,48.8,49.5,16.4,19.7,30.9,29,33,39.4,47.4,49.6,34.6,32.9,62.1,-6.5,-1.94,100.6,102.6,60.5,0.025,-5.87,103.5,109.3,7.63
VMI,2014,17,0,NoTourney,107.3,110.1,49.9,49.9,13.6,15.6,31.3,32.9,34.5,36.8,51.2,49.4,31.8,34,75.1,-8,-3.97,108.3,112.2,73.3,0.061,-6.32,102.9,109.2,-0.15
Fordham,2014,17,0,NoTourney,108,110.9,45,52.5,16.4,18,35.4,35.6,33.4,42.3,44.5,51.9,30.6,35.7,69.3,-10.3,-2.86,108.8,111.7,67.5,-0.035,5.09,105.9,100.8,-3.67
Detroit,2014,17,0,NoTourney,100.7,103.5,45.8,50.1,18.5,19.5,32.6,30.5,38.5,50.3,45.7,47.9,30.8,36.1,68,-11.8,-2.23,101.4,103.6,66,-0.048,0.88,105.5,104.6,1
Wagner,2014,17,0,NoTourney,97.3,100.1,46.2,44.3,18.1,18.9,34.4,31.7,37,44.2,44.9,43.9,33.1,30.1,68.3,-7.6,-1.7,98.6,100.3,66.6,0.016,-6.85,102.6,109.5,-0.25
Kent St.,2014,17,0,NoTourney,103.1,106.1,49.4,48.9,18.3,19.6,30.4,31.5,37,47.6,47.3,47.6,35.1,34.5,66.6,-10.1,-2.11,104.1,106.2,64.7,-0.022,-2.78,102.3,105,-4.36
South Florida,2014,17,0,NoTourney,101.2,104.2,46.2,49.7,19.2,17.5,31.6,31.8,43.8,33.9,48.3,47.3,25.8,37,65.9,-9.6,-1.9,102.4,104.3,63.9,0.018,3.85,106.3,102.4,-6.07
St. Francis NY,2014,17,0,NoTourney,98.3,101.4,48.2,45.9,19.4,18.2,33.2,29.1,36.1,43.7,48.7,44.2,31.5,33.8,67,-8.7,-2.65,98.9,101.5,65,0.006,-5.57,103.4,109,0.23
TCU,2014,17,0,NoTourney,99.5,102.7,44.6,50.3,17.6,18.9,24.6,39,44.8,35.4,43.3,49.8,31.9,34.3,65.9,-8.8,-4.34,99.4,103.7,63.8,0.007,10.02,110.9,100.9,-6.41
Bradley,2014,17,0,NoTourney,100,103.3,46.4,50,18.7,20.2,32.3,31.1,36.5,43.4,45.7,50.7,32.2,32.6,64.5,-12.6,-4.38,100.2,104.6,62.5,-0.05,-1.7,104.4,106.1,-7.33
Miami OH,2014,17,0,NoTourney,98.6,102,48.3,53.8,20.2,21.7,24.5,29.5,34.8,33.3,49.7,52.4,30,37.3,66.8,-10.2,-4.63,98.9,103.5,65.4,0.076,0.26,104.6,104.4,4.24
Northern Illinois,2014,17,0,NoTourney,94.1,97.4,42.6,46.7,22.9,20.8,35.9,31,50.6,47.1,43.2,47.3,27.6,30.5,63.2,-10.6,-3.94,94.4,98.3,61.5,0.019,-2.38,102.9,105.2,-3.35
Bryant,2014,17,0,NoTourney,104.7,108.4,52.5,50,18.1,18,29,34,37.1,32.8,53.8,47.5,33.2,36.4,67.6,-8.2,-2.54,106,108.5,65.3,0.029,-4.92,102.2,107.1,2.74
East Carolina,2014,17,0,NoTourney,106.4,110.3,51.3,51.9,18.3,18.1,29.3,35.4,41.6,31.9,48.3,54.1,36.7,31.9,65.5,-9.9,-5.88,106,111.8,63.7,0.008,-3.25,102.9,106.1,-6.45
Coastal Carolina,2014,16,0,R64,98.3,102,48,47.5,20.2,18.3,34.2,29.3,38.6,39.6,47.6,46.7,32.6,32.4,67.5,-7.7,-4.98,98.2,103.2,65.6,0.04,-8.1,102.1,110.2,-4.94
UNC Asheville,2014,17,0,NoTourney,106.8,110.8,51.4,51.2,19.3,16.8,33.6,34.2,43.4,41.3,48.7,49.2,38.1,36.9,70.3,-9.8,-5.75,106.7,112.5,69,0.026,-5.7,103.1,108.8,3
Northeastern,2014,17,0,NoTourney,100.6,104.5,48,50.8,20,17.1,32.7,29.7,44.4,33.4,47.7,48.7,32.4,37.1,65.1,-13.6,-3.16,101.4,104.5,63.2,-0.047,0.26,104.9,104.7,3.13
Charleston Southern,2014,17,0,NoTourney,105.6,109.7,51.3,51.9,16.1,16.9,29.9,29.6,34.8,38.3,48.3,47.4,37,40.2,67.5,-12.7,-4.88,106.1,111,65.7,-0.182,-5.51,103.3,108.8,6.9
Eastern Washington,2014,17,0,NoTourney,105.9,110.4,51.9,50.4,17.5,14.8,29.9,30.2,40.4,41.9,49.5,49.4,37.2,35,71,-10.7,-5.56,105.7,111.3,69,-0.028,-5.44,103.2,108.7,6.45
South Alabama,2014,17,0,NoTourney,102.7,107.1,46.3,49.1,18.5,16.4,31.6,31.4,36.4,40.8,43.8,47.7,33.3,34.8,66.1,-13.3,-7.06,101.1,108.1,64.5,-0.047,-0.08,104.1,104.2,5.58
Montana,2014,17,0,NoTourney,106.8,111.5,54.7,52.8,15.9,18.4,24.7,34.5,42.3,45.6,54.1,52.4,37,35.7,61.6,-8.8,-4.45,107.4,111.9,59.8,0.002,-6.45,103.7,110.1,4.97
UT Arlington,2014,17,0,NoTourney,104.4,109.1,49.9,51.6,18.9,17.1,31.3,31.8,43.3,42.7,48.8,48.4,34.4,37.6,69.7,-9.2,-4.42,105.9,110.3,68.2,0.059,-0.49,104.5,104.9,5.69
Utah Valley,2014,17,0,NoTourney,101.5,106.1,48.8,49.5,17.2,15.8,27.7,28.8,38.7,35.4,48,49.6,33.5,32.8,62.8,-5.9,-3.19,102.8,106,61.1,0.121,-4.5,103.1,107.6,-0.78
Army,2014,17,0,NoTourney,104.7,109.7,51.1,52.4,18.9,19.9,32,33.5,32.6,35.3,51.4,49.7,33.8,39,68.9,-10.6,-5.31,105.1,110.4,67,0.016,-4.44,102.3,106.7,-8.02
North Texas,2014,17,0,NoTourney,99.7,104.5,46.5,48.9,18.1,17.6,29.2,30.5,41.3,42.5,44.8,47,34.2,35.5,69.1,-9.5,-5.56,99.4,104.9,66.9,0.047,-2.74,103,105.8,-3.08
Marshall,2014,17,0,NoTourney,99.8,104.7,46.6,50.3,18.9,19.5,32.8,34.5,42.4,43.5,48,51.1,29.1,32.4,68.9,-15.1,-5.82,99.9,105.7,66.9,-0.109,-1.81,103.1,104.9,-1.02
Gardner Webb,2014,17,0,NoTourney,99.7,104.6,47.6,50.8,17.9,20,33.2,31.5,41.2,38.7,47.2,51.2,32.5,33.2,66.8,-9.9,-6.59,99,105.6,64.8,0.005,-7.75,102.8,110.5,-1.21
Marist,2014,17,0,NoTourney,100.4,105.4,46.6,50.6,18.1,19.5,29.7,33,40.3,38.3,43.9,47.5,34.7,38.2,66.3,-12.2,-3.87,101.6,105.5,64.4,-0.021,-0.98,104.6,105.6,1.81
Loyola Chicago,2014,17,0,NoTourney,102.3,107.5,51.9,51.2,20.7,18.1,26.8,31.5,38,42.1,51.6,51,35,34.5,63.7,-15.4,-6.47,102.2,108.7,61.9,-0.073,-1.78,104,105.8,-8.54
High Point,2014,17,0,NoTourney,105.8,111.3,52.2,53.7,18.3,18,30.3,33.3,32.4,35,49.7,54.3,38.6,35,64.6,-8.8,-6.63,106,112.6,62.7,0.061,-4.96,103.9,108.9,4.54
Southeast Missouri St.,2014,17,0,NoTourney,107.5,113.2,55.1,51.8,18.5,15.9,32.3,29,39.5,43,55.9,49.2,35.6,37.6,70.6,-9.5,-5.22,108.4,113.7,69,-0.013,-8.06,101.9,110,-7.82
Arkansas Little Rock,2014,17,0,NoTourney,100,105.4,46,49.9,19,18.3,31.3,30.4,41.5,50.2,45.8,48.3,31.1,34.9,68.4,-9.4,-4.7,101.1,105.8,66.3,0.06,-0.35,104.6,105,7.34
Morgan St.,2014,17,0,NoTourney,99.8,105.3,46.5,48.6,18.4,19.8,36.1,34,41.5,44.7,49.5,46.6,26.1,35.6,69.6,-10.1,-5.11,100.4,105.5,67.5,0.005,-5.91,101,106.9,6.11
Rider,2014,17,0,NoTourney,105.2,111.1,50.6,53.9,19,19.2,31.2,31.6,45.7,43.8,45.7,51.7,39.7,38.5,67.1,-10.5,-4.52,106.9,111.4,65.4,0.041,-1.48,103.9,105.4,-1.33
Bowling Green,2014,17,0,NoTourney,92,97.1,45.5,47.3,22.1,20.5,30.4,31.2,36.3,38.5,46.4,44.3,28.3,35.6,66.6,-12.7,-3.9,93,96.9,65,-0.028,-0.21,104.1,104.3,0.1
Winthrop,2014,17,0,NoTourney,103.2,108.9,50.9,52.5,18.6,19.9,28.9,30,41,45.1,46.2,51.5,39.3,36.4,66.2,-8.2,-5.41,103.2,108.6,64.3,0.06,-6.91,101.9,108.8,0.45
Florida Atlantic,2014,17,0,NoTourney,101.2,106.9,47.7,47.7,19.5,16.7,33.3,34,36.2,41.4,46.9,46.6,32.7,33.7,65,-15.1,-6.4,101.1,107.5,63,-0.085,-1.01,104.4,105.4,1.13
Hampton,2014,17,0,NoTourney,95.5,101,46.4,45.1,20.2,22.1,32.9,35.1,50.9,53.6,46,41.6,31.6,35.4,71.4,-8.4,-4.38,96.4,100.8,69.7,0,-9.45,100.2,109.7,-2.94
FIU,2014,17,0,NoTourney,100.8,106.6,48.5,49.4,20.4,18.2,33.2,33.7,42.9,37.5,49.1,49,31.3,33.5,66.7,-8.8,-5.48,101.4,106.9,64.7,0.054,-2.55,103.3,105.9,-2.84
Cal St. Bakersfield,2014,17,0,NoTourney,100,105.8,49.5,49,21,19,34.3,31.5,38.7,52.5,45.4,50,38.6,31.4,65.4,-14.3,-5.12,100.8,105.9,63.6,-0.088,-4.84,103.2,108,-3.13
Lafayette,2014,17,0,NoTourney,108.7,115.2,53.7,54.3,18.9,17.7,27.4,33.7,33.3,35.8,50.6,53.4,39.7,37.2,66.3,-13.7,-6.43,109.3,115.7,64.6,-0.051,-2.16,102.5,104.6,0.63
Air Force,2014,17,0,NoTourney,98.9,104.9,49.5,50.9,20.5,17.8,26.4,30.2,37.1,43.9,49.6,51.1,32.9,33.7,65.5,-10.7,-7,99.6,106.6,63.6,0.056,0.57,105.4,104.8,-9.12
Radford,2014,17,0,NoTourney,107.1,113.7,51.9,52.4,15.8,17.5,31.5,31.5,40.4,39,51.3,50.4,35.7,38.3,67.8,-8.1,-7.36,106.9,114.3,66.5,0.084,-8.98,101.5,110.5,-6.3
Sacramento St.,2014,17,0,NoTourney,104,110.4,50.9,52.7,17.6,18.1,29.9,31.1,35.1,48.5,48.8,53,37,34.9,64.3,-12.1,-9.33,103.4,112.8,62.8,-0.008,-7.04,102.6,109.6,1.19
